holding_years,point_pattern,max_signal_score,buy_signal_threshold,score,sp500_point,vix_point,signal_count,total_return_avg,total_return_median,total_return_min,total_return_max
1,S_D__V_B,3000,300,2400,30,80,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_D__V_B,3000,300,3000,30,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_D__V_C,3000,300,900,30,30,295,0.007102600023652224,0.07055772989080689,-0.48822822765102736,0.3742732415758572
1,S_D__V_C,3000,300,2100,30,70,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_D__V_C,3000,300,3000,30,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_D__V_D,3000,300,1500,30,50,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_D__V_D,3000,300,3000,30,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_D__V_E,3000,300,2400,30,80,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_D__V_E,3000,300,3000,30,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_E__V_A,5000,500,1050,30,35,76,-0.10834899890664784,-0.19982096835008017,-0.33024357691639916,0.2894614448985169
1,S_E__V_A,5000,500,1500,30,50,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_E__V_A,5000,500,1750,50,35,4,0.13710835054101206,0.13633690261181164,0.1294390590874266,0.14632053785299837
1,S_E__V_A,5000,500,2400,30,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_E__V_A,5000,500,2500,50,50,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_E__V_A,5000,500,3000,30,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_E__V_A,5000,500,4000,50,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_E__V_A,5000,500,5000,50,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_E__V_B,5000,500,1500,30,50,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_E__V_B,5000,500,2400,30,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_E__V_B,5000,500,2500,50,50,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_E__V_B,5000,500,3000,30,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_E__V_B,5000,500,4000,50,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_E__V_B,5000,500,5000,50,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_E__V_C,5000,500,900,30,30,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_E__V_C,5000,500,1500,50,30,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_E__V_C,5000,500,2100,30,70,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_E__V_C,5000,500,3000,30,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_E__V_C,5000,500,3500,50,70,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_E__V_C,5000,500,5000,50,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_E__V_D,5000,500,1500,30,50,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_E__V_D,5000,500,2500,50,50,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_E__V_D,5000,500,3000,30,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_E__V_D,5000,500,5000,50,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_E__V_E,5000,500,2400,30,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_E__V_E,5000,500,3000,30,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
