initial_ratio,amounts,ratios,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_trigger_count
0.2,"(100, 100, 200, 200, 300)","(0.5, 0.5, 0.5, 0.5, 0.5)",282.0546729029801,202.60350085479905,-51.60110026355742,1117.9802063372244,11.251753741756366,49.195052393425506,72.74942754444383,384615.3846153846,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.5, 0.5, 0.5, 0.3, 0.3)",281.92696955135057,169.4662533417982,-56.307714715464165,1034.6148728488558,10.998714804475636,49.91167291494681,76.91922176866576,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.5, 0.3, 0.3)",281.87559898030645,202.14430256337863,-54.43299880393872,1151.1412156506242,11.0756424828152,49.8279718877631,74.38360622669578,384615.3846153846,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.3, 0.3, 0.3)",281.4310235432162,169.69053603833035,-56.3712273264252,1045.6685426199892,10.934520925212238,50.074946345031336,77.21093819533036,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.3, 0.3, 0.3)",281.34335175103865,201.87714948246733,-54.497036216847874,1162.1948854217576,11.008561646974586,50.015876287042474,74.72378936321317,384615.3846153846,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.5, 0.5, 0.5, 0.5, 0.3)",280.5455734312514,170.53631313891253,-55.02559475723151,1012.5075333065892,11.075784823028432,49.44728420055023,76.12120388059671,0.0,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.5, 0.5, 0.5, 0.5, 0.5)",280.5455734312514,170.53631313891253,-55.02559475723151,1012.5075333065892,11.075784823028432,49.44728420055023,76.12120388059671,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.5, 0.5, 0.3)",280.4942028602071,203.0290442726262,-53.15087884570608,1129.0338761083578,11.146999333406256,49.34250865700163,73.53089063156038,384615.3846153846,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.5, 0.5, 0.5)",280.0470226989186,203.53830682661948,-51.47405560480669,1106.926536566091,11.24353148030774,48.937315036044076,72.46358539572074,384615.3846153846,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.5, 0.3, 0.3)",279.9193193472892,170.39956854996063,-56.18067005671343,1023.5612030777224,10.999528581541055,49.6445326872654,76.66627924939219,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.5, 0.3, 0.3)",279.83164755511166,202.4114556442899,-54.30647894713611,1140.087545879491,11.06804936819233,49.55791921796736,74.0995130376368,384615.3846153846,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.3, 0.3, 0.3)",279.3870721180214,170.04505229414548,-56.24470746962257,1034.6148728488558,10.934653882648947,49.80923359983885,76.96512219925904,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.3, 0.3, 0.3)",279.2756855186752,154.21027359850382,-57.86787924186155,884.9275207336873,10.846191472798047,50.26906169543259,78.19599183241075,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.3, 0.3)",279.2756855186752,154.21027359850382,-57.86787924186155,884.9275207336873,10.846191472798047,50.26906169543259,78.19599183241075,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.5, 0.3)",279.2756855186752,154.21027359850382,-57.86787924186155,884.9275207336873,10.846191472798047,50.26906169543259,78.19599183241075,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.5, 0.5)",279.2756855186752,154.21027359850382,-57.86787924186155,884.9275207336873,10.846191472798047,50.26906169543259,78.19599183241075,0.0,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.5, 0.5, 0.3)",278.53792322718994,171.46962834707494,-54.89855009848077,1001.4538635354559,11.074956854792743,49.17852579069587,75.86321476960471,0.0,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.5, 0.5, 0.5)",278.53792322718994,171.46962834707494,-54.89855009848077,1001.4538635354559,11.074956854792743,49.17852579069587,75.86321476960471,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.5, 0.5, 0.3)",278.45025143501243,203.30135251060756,-53.024358988903444,1117.9802063372244,11.137683546959947,49.06985949623044,73.24112208543049,384615.3846153846,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.7, 0.3, 0.3)",278.3199433591847,202.94576180611253,-54.115921677424325,1117.9802063372244,11.124311245809963,49.09978611212297,73.45374189825344,384615.3846153846,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.5, 0.5, 0.5)",278.00307127372395,203.85290106324203,-51.347535748004056,1095.8728667949579,11.232985212037436,48.6657270832428,72.17753154374748,384615.3846153846,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.5, 0.3, 0.3)",277.8753679220945,170.75408480577576,-56.0541501999108,1012.5075333065892,10.997989440304847,49.37674469460329,76.4131340715524,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.7, 0.5, 0.3)",276.93854723908544,203.9305409838526,-52.833801719191676,1095.8728667949579,11.190805816488172,48.61232424345188,72.5900436349165,384615.3846153846,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.5, 0.5, 0.3)",276.49397180199514,171.82414460289004,-54.77203024167814,990.4001937643226,11.071762959319411,48.90914689259391,75.60503786163004,0.0,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.5, 0.5, 0.5)",276.49397180199514,171.82414460289004,-54.77203024167814,990.4001937643226,11.071762959319411,48.90914689259391,75.60503786163004,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.7, 0.5, 0.5)",276.49136707779695,204.48208953648702,-51.15697847829228,1073.7655272526913,11.283254944641772,48.211191181026415,71.5238203310832,384615.3846153846,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.7, 0.3, 0.3)",276.3636637261675,171.463117317406,-55.863592930199026,990.4001937643226,11.058008479164506,48.94579656341122,75.84327174260889,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.7, 0.7, 0.7, 0.3)",275.5571511189862,204.91702025517924,-51.55168176095901,1073.7655272526913,11.253966504232134,48.12632165829413,71.7492213404925,384615.3846153846,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.3, 0.3, 0.3)",275.18778266828565,159.89373140530768,-57.614839528256276,862.8201811914207,10.850578816931788,49.844571607914084,77.72408025703089,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.3, 0.3)",275.18778266828565,159.89373140530768,-57.614839528256276,862.8201811914207,10.850578816931788,49.844571607914084,77.72408025703089,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.3)",275.18778266828565,159.89373140530768,-57.614839528256276,862.8201811914207,10.850578816931788,49.844571607914084,77.72408025703089,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.5)",275.18778266828565,159.89373140530768,-57.614839528256276,862.8201811914207,10.850578816931788,49.844571607914084,77.72408025703089,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.3, 0.3)",275.18778266828565,159.89373140530768,-57.614839528256276,862.8201811914207,10.850578816931788,49.844571607914084,77.72408025703089,0.0,4.8076923076923075
