strategy,vix_threshold,buy_ratios,buy_target_ratio,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_buy_count,window_count,initial_ratio
VIX,35.0,"(0.7, 0.5, 0.3, 0.3, 0.3)","(0.5, 0.5)",297.408442068476,273.7565722482684,-46.95462867732063,1118.2960309634263,12.020393702543865,14.092969538608035,-6.143414749946475,28.403033188464043,45.53537599204703,68.3799015345417,0.0,12.0,209,0.2
VIX,35.0,"(0.5, 0.5, 0.5, 0.5, 0.5)","(0.3, 0.7)",330.8655089812493,219.1427783553817,-53.08820581263623,1273.2231581142676,12.001306010248493,12.304847423506772,-7.289653479485825,29.949350106094673,51.064203349063085,76.86922917868033,0.0,6.0,209,0.4
VIX,35.0,"(0.5, 0.5, 0.3, 0.3, 0.3)","(0.5, 0.5)",295.34511204217085,275.40750546856935,-47.021875159909634,1116.4241676287565,11.996163567299249,14.143266048875013,-6.155319895508615,28.383290919969294,45.17008979059997,68.40853789329545,0.0,12.0,209,0.2
VIX,35.0,"(0.7, 0.7, 0.7, 0.7, 0.7)","(0.5, 0.5)",298.28152092562135,255.29972423364828,-45.359121743686615,1126.0806317963245,11.994401103132766,13.516629326234874,-5.864861237711749,28.484844486622983,46.84163379782003,68.3646258591507,0.0,6.0,209,0.2
VIX,35.0,"(0.7, 0.5, 0.5, 0.3, 0.3)","(0.5, 0.5)",296.7468740649404,269.5481620550237,-46.70430443601097,1117.4161444135964,11.99336936474227,13.963847962501452,-6.0992170490338005,28.393756556629167,45.83689416989876,68.3644517602504,0.0,11.0,209,0.2
VIX,35.0,"(0.3, 0.3, 0.3, 0.3, 0.3)","(0.5, 0.5)",291.9008127005302,270.75292170242557,-46.123343879972836,1112.4229521223347,11.976007301961873,14.000946790505786,-5.997357254454516,28.340998833299146,44.46362507881908,67.9960751212608,0.0,14.0,209,0.2
VIX,35.0,"(0.3, 0.5, 0.7, 0.7, 0.7)","(0.3, 0.7)",328.5354441735045,219.20889648531875,-52.74680499222676,1262.886596172755,11.973968259865199,12.307173872617394,-7.222403420642554,29.851201370047733,51.07663114596523,76.71122033559412,0.0,6.0,209,0.4
VIX,35.0,"(0.3, 0.5, 0.5, 0.7, 0.7)","(0.3, 0.7)",327.8423710856086,219.9012088470371,-52.68957244558937,1262.5064462177131,11.969627383043811,12.331507738585689,-7.211172420791856,29.847578975817957,51.01447722610573,76.68491365912777,0.0,6.0,209,0.4
VIX,35.0,"(0.3, 0.3, 0.3, 0.3, 0.3)","(0.3, 0.7)",324.6626032166397,231.66126914316806,-53.5096060801155,1263.6556703288409,11.96711957392549,12.737779289378759,-7.373272095866779,29.858526987107183,50.26955933775523,77.0676757696674,0.0,10.0,209,0.4
VIX,35.0,"(0.5, 0.5, 0.5, 0.5, 0.5)","(0.7, 0.3)",280.32632531518897,255.08028070568008,-39.21729997968877,1045.7003885437443,11.966463462732262,13.509616256962854,-4.8567464113908,27.61658125304278,44.1696470156269,65.09697606446596,0.0,8.0,209,0.2
BuyHold,,,"(0.3, 0.7)",397.7898308994677,145.00004361735267,-74.90120235452795,1953.9520731326757,11.915359250353164,9.374634859716235,-12.910601360767238,35.28792337566158,56.54144032433102,86.78063071657903,0.0,1.0,209,
VIX,35.0,"(0.3, 0.5, 0.5, 0.7, 0.7)","(0.7, 0.3)",277.52064734542404,253.2842083330558,-39.09074877102293,1051.081788320343,11.902384613921381,13.452069544127854,-4.836955866214076,27.676396941205116,44.213907078911895,65.09520743738865,0.0,7.0,209,0.2
VIX,35.0,"(0.3, 0.5, 0.7, 0.7, 0.7)","(0.7, 0.3)",277.77666340935536,252.14078389559882,-39.145575591508994,1049.9300336506503,11.900658374728492,13.415296546542477,-4.845525339073542,27.663616082199272,44.34168955774651,65.08883183452858,0.0,7.0,209,0.2
VIX,35.0,"(0.7, 0.7, 0.5, 0.5, 0.3)","(0.3, 0.7)",311.23590395049405,259.9174600900113,-51.82555258434762,1195.379061745573,11.899240092586087,13.663308041028355,-7.043090991906952,29.193209471447503,48.75816454473689,73.25974638615233,0.0,10.0,209,0.2
